Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,Title
0,3,2,22.0,1,9,1.0,2
1,1,1,38.0,1,9,2.0,4
1,3,1,26.0,9,9,1.0,3
1,1,1,35.0,1,9,1.0,4
0,3,2,35.0,9,9,1.0,2
0,3,2,28.0,9,9,3.0,2
0,1,2,54.0,9,9,1.0,2
0,3,2,2.0,3,1,1.0,1
1,3,1,27.0,9,2,1.0,4
1,2,1,14.0,1,9,2.0,4
1,3,1,4.0,1,1,1.0,3
1,1,1,58.0,9,9,1.0,3
0,3,2,20.0,9,9,1.0,2
0,3,2,39.0,1,5,1.0,2
0,3,1,14.0,9,9,1.0,3
1,2,1,55.0,9,9,1.0,4
0,3,2,2.0,4,1,3.0,1
1,2,2,28.0,9,9,1.0,2
0,3,1,31.0,1,9,1.0,4
1,3,1,28.0,9,9,2.0,4
0,2,2,35.0,9,9,1.0,2
1,2,2,34.0,9,9,1.0,2
1,3,1,15.0,9,9,3.0,3
1,1,2,28.0,9,9,1.0,2
0,3,1,8.0,3,1,1.0,3
1,3,1,38.0,1,5,1.0,4
0,3,2,28.0,9,9,2.0,2
0,1,2,19.0,3,2,1.0,2
1,3,1,28.0,9,9,3.0,3
0,3,2,28.0,9,9,1.0,2
0,1,2,40.0,9,9,2.0,5
1,1,1,28.0,1,9,2.0,4
1,3,1,28.0,9,9,3.0,3
0,2,2,66.0,9,9,1.0,2
0,1,2,28.0,1,9,2.0,2
0,1,2,42.0,1,9,1.0,2
1,3,2,28.0,9,9,2.0,2
0,3,2,21.0,9,9,1.0,2
0,3,1,18.0,2,9,1.0,3
1,3,1,14.0,1,9,2.0,3
0,3,1,40.0,1,9,1.0,4
0,2,1,27.0,1,9,1.0,4
0,3,2,28.0,9,9,2.0,2
1,2,1,3.0,1,2,2.0,3
1,3,1,19.0,9,9,3.0,3
0,3,2,28.0,9,9,1.0,2
0,3,2,28.0,1,9,3.0,2
1,3,1,28.0,9,9,3.0,3
0,3,2,28.0,2,9,2.0,2
0,3,1,18.0,1,9,1.0,4
0,3,2,7.0,4,1,1.0,1
0,3,2,21.0,9,9,1.0,2
1,1,1,49.0,1,9,2.0,4
1,2,1,29.0,1,9,1.0,4
0,1,2,65.0,9,1,2.0,2
1,1,2,28.0,9,9,1.0,2
1,2,1,21.0,9,9,1.0,3
0,3,2,28.5,9,9,2.0,2
1,2,1,5.0,1,2,1.0,3
0,3,2,11.0,5,2,1.0,1
0,3,2,22.0,9,9,2.0,2
1,1,1,38.0,9,9,1.0,3
0,1,2,45.0,1,9,1.0,2
0,3,2,4.0,3,2,1.0,1
0,1,2,28.0,9,9,2.0,2
1,3,2,28.0,1,1,2.0,1
1,2,1,29.0,9,9,1.0,4
0,3,2,19.0,9,9,1.0,2
1,3,1,17.0,4,2,1.0,3
0,3,2,26.0,2,9,1.0,2
0,2,2,32.0,9,9,1.0,2
0,3,1,16.0,5,2,1.0,3
0,2,2,21.0,9,9,1.0,2
0,3,2,26.0,1,9,2.0,2
1,3,2,32.0,9,9,1.0,2
0,3,2,25.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
1,2,2,0.83,9,2,1.0,1
1,3,1,30.0,9,9,1.0,3
0,3,2,22.0,9,9,1.0,2
1,3,2,29.0,9,9,1.0,2
1,3,1,28.0,9,9,3.0,3
0,1,2,28.0,9,9,1.0,2
1,2,1,17.0,9,9,1.0,3
1,3,1,33.0,3,9,1.0,4
0,3,2,16.0,1,3,1.0,2
0,3,2,28.0,9,9,1.0,2
1,1,1,23.0,3,2,1.0,3
0,3,2,24.0,9,9,1.0,2
0,3,2,29.0,9,9,1.0,2
